years_bp,gisp2_temp_c,epica_co2_ppm,solar_delta_14c,geomagnetic_vadm,global_sea_level_anomaly_m
1560,-30.84407659574468,277.67727272727274,-22.1,8.442,6.805819135101754
1570,-30.8684,277.35185185185185,-21.4,8.428,6.787775731199999
1580,-30.85421818181818,277.55555555555554,-21.0,8.42,6.769675172378947
1590,-30.802533333333333,277.7592592592593,-20.7,8.414,6.7515176216701756
1600,-30.746866666666666,278.57800000000003,-19.7,8.394,6.733303242105264
1610,-30.6912,279.5505,-20.3,8.406,6.715032196715789
1620,-30.4744,280.523,-20.8,8.416,6.696704648533333
1630,-30.495452631578946,281.4955,-22.5,8.45,6.678320760589474
1640,-30.51776,281.40636363636366,-22.3,8.446,6.659880695915788
1650,-30.55352,281.0518181818182,-22.2,8.444,6.641384617543859
1660,-30.61111111111111,280.71857142857147,-19.0,8.38,6.622832688505262
1670,-30.69632,280.3995238095238,-14.9,8.298,6.6042250718315785
1680,-30.81304,279.03375,-9.4,8.188,6.585561930554386
1690,-30.95327272727273,278.8323076923077,-11.5,8.23,6.566843427705263
1700,-31.05916,279.5784615384615,-15.2,8.304,6.548069726315789
1710,-31.046799999999998,280.2092424242424,-17.5,8.35,6.529240989417543
1720,-31.10648,279.8016666666667,-19.9,8.398,6.510357380042105
1730,-31.0484,279.3940909090909,-19.2,8.384,6.491419061221053
1740,-31.091679999999997,278.98651515151516,-20.7,8.414,6.472426195985965
1750,-31.0602,278.5789393939394,-22.4,8.448,6.453378947368421
1760,-31.05936,278.17136363636365,-21.1,8.422,6.4342774784
1770,-31.028472727272725,277.76378787878787,-19.2,8.384,6.41512195211228
1780,-30.9572,277.68142857142857,-18.1,8.362,6.395912531536842
1790,-30.93349090909091,277.9242857142857,-17.5,8.35,6.376649379705263
1800,-30.9844,278.07666666666665,-17.1,8.342,6.357332659649123
1810,-31.04330909090909,278.09333333333336,-15.2,8.304,6.3379625344
1820,-31.0456,277.9875,-14.2,8.284,6.318539166989473
1830,-31.04496,277.8,-17.9,8.358,6.299062720449123
1840,-31.11768888888889,277.6125,-18.9,8.378,6.279533357810526
1850,-31.1728,277.4916666666667,-18.4,8.368,6.259951242105263
1860,-31.215799999999998,277.4708333333333,-14.0,8.28,6.2403165363649125
1870,-31.206622222222222,277.45,-15.8,8.316,6.220629403621053
1880,-31.1918,277.4291666666667,-15.6,8.312,6.200890006905263
1890,-31.12036363636364,277.4083333333333,-16.6,8.332,6.181098509249122
1900,-31.042933333333334,277.5153846153846,-16.7,8.334,6.16125507368421
1910,-30.95109090909091,277.7076923076923,-14.1,8.282,6.141359863242105
1920,-30.84984,277.9,-13.0,8.26,6.121413040954386
1930,-30.61728888888889,277.4862068965517,-14.7,8.294,6.1014147698526315
1940,-30.4624,277.0724137931034,-14.7,8.294,6.0813652129684215
1950,-30.310666666666666,276.726,-17.1,8.342,6.061264533333333
1960,-30.29704,276.986,-15.2,8.304,6.041112893978947
1970,-30.251333333333335,277.246,-11.6,8.232,6.020910457936843
1980,-30.240360000000003,277.506,-10.7,8.214,6.000657388238595
1990,-30.224,277.766,-12.2,8.244,5.980353847915789
2000,-30.175066666666666,277.9882978723404,-15.6,8.312,5.96
2010,-30.046,277.8712765957447,-18.2,8.364,5.939500386037151
2020,-29.863285714285716,277.7542553191489,-15.9,8.318,5.918762770443756
2030,-29.872142857142858,277.6372340425532,-12.9,8.258,5.897792150557276
2040,-29.854553846153845,277.5202127659574,-12.0,8.24,5.87659352371517
2050,-29.765636363636364,277.4031914893617,-13.1,8.262,5.855171887254902
2060,-29.621418181818182,277.28617021276597,-13.1,8.262,5.833532238513932
